Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
1/1/2010 1:00,7775.679969,1238.21679,1237.781607,950.698047,12406.20808,2467.652377,5032.076127,1059.772842,32168.08584
1/1/2010 2:00,7705.229425,1236.117172,1249.074216,957.669059,12486.4827,2436.156108,5111.741458,1064.674312,32247.14445
1/1/2010 3:00,7651.331856,1244.196621,1251.422583,954.242852,12560.70695,2414.677921,5169.401604,1072.058494,32318.03889
1/1/2010 4:00,7665.580956,1253.027662,1260.323154,970.199087,12669.99009,2383.598902,5241.121725,1086.679817,32530.52139
1/1/2010 5:00,7745.084056,1284.075739,1264.761563,982.339683,12912.47284,2498.21938,5401.540253,1111.873195,33200.36671
1/1/2010 6:00,7980.019415,1336.762389,1281.005776,1015.0304,13360.23302,2596.793369,5659.305877,1159.156244,34388.30649
1/1/2010 7:00,8204.297441,1371.12377,1271.541499,1032.668142,13879.13947,2753.721545,5889.280824,1201.702902,35603.47559
1/1/2010 8:00,8322.200218,1415.585115,1276.726034,1042.312155,13991.99655,2800.921254,6014.947607,1234.062257,36098.75119
1/1/2010 9:00,8445.198912,1457.940277,1297.170255,1065.520914,13787.87997,2863.681529,6005.073466,1244.384074,36166.8494
1/1/2010 10:00,8683.418337,1426.092281,1279.506871,1051.660736,13270.82818,3031.150288,5901.151965,1202.110238,35845.91889
1/1/2010 11:00,8783.175676,1373.395464,1257.103137,998.021838,12704.73839,2981.905135,5740.3845,1144.406808,34983.13094
1/1/2010 12:00,8809.56761,1272.033452,1223.757982,951.802397,12049.74512,2785.319509,5492.868324,1069.251223,33654.34561
1/1/2010 13:00,8652.838559,1197.966642,1196.082432,905.249497,11308.06478,2645.942,5217.484246,994.679321,32118.30748
1/1/2010 14:00,8445.762381,1134.266558,1153.558,861.409808,10652.15328,2450.272758,4932.885347,933.466074,30563.77421
1/1/2010 15:00,8221.890172,1096.2818,1128.396038,830.993785,10017.15206,2345.64602,4724.640392,901.348963,29266.34923
1/1/2010 16:00,8055.708028,1051.462716,1096.727543,796.457141,9649.818911,2294.791015,4603.369666,882.840503,28431.17552
1/1/2010 17:00,8155.347016,1379.085881,1090.446636,783.437258,9574.447306,2322.685185,4621.150402,869.314025,28795.91371
1/1/2010 18:00,8619.368125,1471.679283,1113.383625,856.461724,10531.8704,2438.904044,4976.188121,921.654292,30929.50962
1/1/2010 19:00,9137.42746,1291.762781,1184.717353,931.814061,11899.42245,2790.087358,5659.549652,1031.820452,33926.60156
1/1/2010 20:00,9258.291327,1321.422321,1226.440312,948.018054,12132.44582,2934.365204,5850.873896,1070.081991,34741.93892
1/1/2010 21:00,9204.66938,1369.5004,1242.543184,975.676569,12328.82806,3048.717709,5973.331053,1079.691638,35222.95799
1/1/2010 22:00,9049.71125,1403.912021,1266.095285,976.629224,12396.55419,3088.044938,6006.470263,1101.653413,35289.07059
1/1/2010 23:00,8817.533836,1384.282392,1266.808829,950.020518,12191.44267,3057.928059,5910.98948,1106.987131,34685.99291
1/2/2010 0:00,8518.311315,1358.282467,1262.106137,927.84968,11974.51904,2904.674337,5767.324874,1081.209348,33794.27719
1/2/2010 1:00,8281.820804,1301.434272,1224.560662,941.068879,11912.28722,2706.035593,5644.953675,1070.73628,33082.89739
1/2/2010 2:00,8128.597204,1309.624494,1213.970355,925.696239,11813.07934,2649.205458,5626.473168,1070.08185,32736.72811
1/2/2010 3:00,8047.905543,1325.335329,1218.077777,933.883612,11859.66878,2626.860677,5667.862515,1089.122989,32768.71722
1/2/2010 4:00,8096.99713,1316.042013,1229.959858,946.775469,12108.11173,2604.198276,5750.468968,1107.970675,33160.52412
1/2/2010 5:00,8217.42635,1350.509127,1237.036768,970.27601,12326.99788,2731.904558,5909.521427,1139.575019,33883.24714
1/2/2010 6:00,8465.984373,1424.736887,1266.283525,1008.94601,12917.72148,2855.99271,6174.605761,1198.379172,35312.64992
1/2/2010 7:00,8751.911991,1502.001787,1260.052676,1042.767067,13524.95372,3011.309595,6484.68039,1236.192889,36813.87012
1/2/2010 8:00,9158.677939,1538.647229,1285.182698,1060.815563,13949.39693,3050.972822,6709.156747,1285.438073,38038.288
1/2/2010 9:00,9386.41026,1543.064724,1295.933443,1074.537991,14007.4317,3085.475455,6796.149976,1329.734107,38518.73765
1/2/2010 10:00,9500.406269,1489.253705,1276.353173,1077.22635,13483.4099,3013.774283,6645.865263,1294.217052,37780.506
1/2/2010 11:00,9285.739664,1415.828668,1259.212057,1046.25853,12882.31632,2850.435764,6197.021733,1230.311633,36167.12437
1/2/2010 12:00,9086.459831,1302.405647,1215.175237,988.951771,12036.04195,2637.168698,5799.402504,1137.382491,34202.98813
1/2/2010 13:00,8748.799486,1192.613716,1180.004212,950.420622,11175.90191,2548.997383,5385.985067,1055.731222,32238.45362
1/2/2010 14:00,8525.767313,1137.05371,1139.172219,904.139035,10413.81856,2371.977107,5117.384498,977.081453,30586.3939
1/2/2010 15:00,8379.83625,1168.289149,1110.779501,868.779375,9875.993489,2263.002251,4874.947192,938.87089,29480.4981
1/2/2010 16:00,8275.109755,1046.593791,1091.306922,845.490771,9654.233665,2220.910996,4794.061185,925.285417,28852.9925
1/2/2010 17:00,8419.47466,1543.266293,1094.611908,855.079025,9762.361986,2243.560349,4857.318961,918.009354,29693.68254
1/2/2010 18:00,9049.71952,1602.025871,1124.19518,921.910081,10799.72764,2354.045395,5280.896798,986.14573,32118.66622
1/2/2010 19:00,9619.998749,1333.333795,1179.64967,992.784126,12008.29496,2630.194805,5888.430272,1081.326275,34734.01265
1/2/2010 20:00,9613.504146,1590.491982,1222.534756,1007.834576,12244.0979,2733.518817,6004.918185,1114.896643,35531.79701
1/2/2010 21:00,9590.482419,1698.225323,1238.399645,1028.789054,12377.29132,2739.232676,6034.928272,1119.187019,35826.53573
1/2/2010 22:00,9452.510533,1739.797071,1231.867603,1004.363409,12284.81634,2680.471194,5923.084785,1115.204537,35432.11547
1/2/2010 23:00,9078.829291,1642.10897,1211.912121,988.676424,11875.36538,2600.388366,5711.756953,1105.429139,34214.46664
1/3/2010 0:00,8665.138952,1588.964459,1188.872043,956.588388,11524.72386,2463.114686,5413.919642,1073.064592,32874.38662
1/3/2010 1:00,8017.480914,1260.476279,1231.730924,945.53221,11436.47413,2340.165764,5147.518604,1072.302286,31451.68111
1/3/2010 2:00,7840.298766,1244.360284,1228.974883,947.523747,11256.08615,2236.547374,4931.273051,1061.180744,30746.245
1/3/2010 3:00,7676.505199,1342.438434,1223.102885,941.425373,11176.37379,2217.278488,4791.670968,1050.177916,30418.97306
1/3/2010 4:00,7635.082283,1262.569359,1236.751773,948.943733,11239.95253,2189.614116,4732.016176,1055.672179,30300.60215
1/3/2010 5:00,7651.648315,1285.928969,1245.551326,944.697694,11443.12067,2236.449678,4724.294207,1053.48726,30585.17812
1/3/2010 6:00,7837.372012,1348.7203,1255.987361,968.762578,11813.88261,2329.271216,4862.566121,1078.393313,31494.95551
1/3/2010 7:00,8090.501002,1403.868823,1258.867314,959.03516,12239.08979,2393.42012,5062.864499,1117.964987,32525.61169
1/3/2010 8:00,8359.6099,1459.002599,1271.468917,965.584841,12597.19805,2479.71218,5258.243732,1154.310821,33545.13104
1/3/2010 9:00,8474.899238,1519.580388,1313.288387,1044.418561,13000.58783,2548.14776,5476.154614,1216.241367,34593.31814
1/3/2010 10:00,8846.187113,1489.898216,1312.1517,1098.358466,13120.84895,2655.436758,5654.380676,1222.492964,35399.75485
1/3/2010 11:00,9014.256504,1427.400617,1301.903531,1069.383392,13127.6073,2639.9323,5732.004218,1206.872561,35519.36042
1/3/2010 12:00,9135.217312,1330.961303,1264.749145,1052.52552,12923.17492,2508.209166,5733.018773,1168.588747,35116.44488
1/3/2010 13:00,8998.515866,1296.184362,1248.757928,1062.793046,12694.19015,2491.012078,5680.738362,1128.214147,34600.40594
1/3/2010 14:00,8849.264771,1374.003396,1223.159949,1040.508786,12271.95306,2406.70672,5573.449015,1099.064033,33838.10973
1/3/2010 15:00,8677.95357,1321.723924,1211.631339,1033.793023,12104.34787,2383.044766,5496.517629,1076.972725,33305.98484
1/3/2010 16:00,8705.27022,1247.137605,1187.138469,1018.502341,12084.29066,2409.871766,5454.53092,1054.753958,33161.49594
1/3/2010 17:00,8897.101173,1582.717117,1181.620742,1024.225475,12313.17484,2485.559214,5515.321986,1051.122748,34050.8433
1/3/2010 18:00,9418.516927,1555.27245,1197.03388,1087.738394,13157.40896,2617.85802,5857.865365,1099.317863,35991.01186
1/3/2010 19:00,9759.402834,1372.298438,1268.892132,1127.612649,14068.27829,2857.673372,6287.312378,1194.246799,37935.71689
1/3/2010 20:00,9865.265293,1391.945533,1307.987093,1119.447117,14238.73106,2921.392499,6394.443592,1206.368843,38445.58103
1/3/2010 21:00,9675.731338,1414.748724,1330.352107,1114.94884,14218.78015,2938.434013,6265.465616,1196.256808,38154.71759
1/3/2010 22:00,9435.512926,1392.011558,1323.680102,1089.616812,13869.27157,2836.931553,6042.207388,1185.396861,37174.62877
1/3/2010 23:00,8847.408866,1334.105851,1315.443314,1045.929311,13367.63627,2662.795467,5649.426708,1179.538946,35402.28474
1/4/2010 0:00,8467.118058,1273.418543,1295.762159,1013.564848,12717.94956,2366.860951,5297.447267,1127.406239,33559.52763
1/4/2010 1:00,8134.25328,1230.083839,1257.966962,978.935066,12302.32992,2357.674969,5077.975818,1079.519547,32418.7394
1/4/2010 2:00,7941.721911,1217.292792,1256.040324,991.281273,12265.17289,2242.90539,5048.306377,1081.309821,32044.03078
1/4/2010 3:00,7795.204843,1220.168695,1266.235286,992.567858,12436.23605,2207.515702,5080.121245,1097.89142,32095.9411
1/4/2010 4:00,7843.143485,1266.114,1273.797683,1009.966406,12757.72191,2170.097643,5217.630369,1116.47629,32654.94779
1/4/2010 5:00,8229.813667,1332.750264,1292.842089,1024.477742,13280.42869,2287.216013,5547.081158,1144.231274,34138.84089
1/4/2010 6:00,8886.771288,1451.392885,1356.417648,1088.771958,14541.83979,2557.773194,6150.492936,1239.663749,37273.12345
1/4/2010 7:00,9801.074556,1633.136182,1423.955725,1200.037467,16283.66892,2895.711331,7072.650592,1349.895947,41660.13072
1/4/2010 8:00,10289.62208,1673.474316,1472.453086,1208.236231,17203.5997,2927.170399,7420.241757,1418.818981,43613.61655
1/4/2010 9:00,10407.6417,1615.350442,1446.680373,1215.900905,16870.35971,2943.050861,7274.820124,1406.624331,43180.42844
1/4/2010 10:00,10818.21105,1635.41913,1421.757671,1198.091859,16458.47411,2962.240304,7068.519317,1377.345928,42940.05937
1/4/2010 11:00,10810.60718,1663.813762,1409.857501,1187.805107,16229.00819,2922.244592,6895.927576,1362.32412,42481.58802
1/4/2010 12:00,10759.31352,1602.283228,1368.417032,1147.308241,15608.35385,2848.441663,6606.389035,1284.797134,41225.3037
1/4/2010 13:00,10721.38933,1581.983756,1319.879724,1095.073359,14731.64299,2812.180537,6334.403857,1206.194567,39802.74812
1/4/2010 14:00,10575.02734,1546.066436,1276.566737,1058.735579,14130.75034,2619.7485,6057.364621,1131.833377,38396.09293
1/4/2010 15:00,10272.58774,1700.03087,1219.067056,1022.549306,13597.25805,2608.642469,5811.682861,1101.005953,37332.82431
1/4/2010 16:00,10194.82026,1688.728342,1183.391655,1017.893222,13273.56559,2502.280016,5717.024194,1090.261823,36667.9651
1/4/2010 17:00,10171.52057,2044.399545,1203.41359,1037.334501,13407.32253,2574.500265,5756.37449,1095.28428,37290.14978
1/4/2010 18:00,10763.38672,1980.749867,1236.608725,1123.697634,14798.53972,2699.638553,6268.435719,1167.1742,40038.23113
1/4/2010 19:00,11579.85268,1808.661758,1329.22575,1199.30149,16318.31608,3136.58252,7080.280792,1303.920293,43756.14136
1/4/2010 20:00,11620.21447,1773.631863,1377.510957,1194.799695,16615.12109,3296.607085,7284.943802,1346.465622,44509.29458
1/4/2010 21:00,11296.87262,1761.106449,1409.407401,1203.385604,16819.81647,3395.972126,7332.090053,1368.357696,44587.00842
1/4/2010 22:00,10930.46493,1756.801252,1399.956179,1174.579247,16391.19161,3341.153032,7198.330065,1389.38387,43581.86019
1/4/2010 23:00,10379.42972,1701.938243,1345.78671,1128.139968,15484.19645,3197.165992,6798.410988,1331.848136,41366.91621
1/5/2010 0:00,9901.328625,1794.445108,1278.396467,1060.477368,14701.60467,2967.205516,6430.75396,1272.577521,39406.78924
